Ingredient_id,Target.id,Target.name,Database.sources,Paper.id,PubMed.id
HBIN000674,HBTAR000094,ADRA1A,,,
HBIN000674,HBTAR000099,ADRB2,,,
HBIN000674,HBTAR000460,CA2,,,
HBIN000674,HBTAR000699,CHRM1,,,
HBIN000674,HBTAR001964,HTR3A,,,
HBIN000674,HBTAR002031,IGHG1,,,
HBIN000674,HBTAR002811,OPRD1,,,
HBIN000674,HBTAR002814,OPRM1,,,
HBIN000674,HBTAR003294,PTGS1,,,
HBIN000674,HBTAR003295,PTGS2,,,
HBIN000674,HBTAR003583,RXRA,,,
HBIN000674,HBTAR003629,SCN5A,,,
HBIN000674,HBTAR003762,SLC6A3,,,
HBIN000674,HBTAR003763,SLC6A4,,,
HBIN000674,HBTAR004789,NCOA1,,,
HBIN000674,HBTAR003112,PPARG,,,
HBIN000674,HBTAR003005,PIM1,,,
HBIN000674,HBTAR000702,CHRM3,,,
HBIN000674,HBTAR001277,ESR1,,,
HBIN000674,HBTAR000092,ADRA1D,,,
HBIN000674,HBTAR000704,CHRM5,,,
HBIN000674,HBTAR005869,NCOA2,,,
HBIN000674,HBTAR000710,CHRNA7,,,
HBIN000674,HBTAR002737,NOS2,,,
HBIN000674,HBTAR000233,AR,,,
HBIN000674,HBTAR000874,MAPK14,,,
HBIN000674,HBTAR001105,DRD1,,,
HBIN000674,HBTAR000703,CHRM4,,,
HBIN000674,HBTAR001278,ESR2,,,
HBIN000674,HBTAR003223,PRSS1,,,
HBIN000674,HBTAR000549,CCNA2,,,
HBIN000674,HBTAR000634,CDK2,,,
HBIN000674,HBTAR002900,PDE3A,,,
HBIN000674,HBTAR000093,ADRA1B,,,
HBIN000674,HBTAR001710,GSK3B,,,
HBIN000674,HBTAR000700,CHRM2,,,
HBIN000674,HBTAR001096,DPP4,,,
HBIN000674,HBTAR000686,CHEK1,,,
HBIN000674,HBTAR000031,ACHE,,,
HBIN000674,HBTAR001471,GABRA1,,,
HBIN002684,HBTAR000031,ACHE,,,
HBIN002684,HBTAR000094,ADRA1A,,,
HBIN002684,HBTAR000099,ADRB2,,,
HBIN002684,HBTAR000233,AR,,,
HBIN002684,HBTAR000460,CA2,,,
HBIN002684,HBTAR000699,CHRM1,,,
HBIN002684,HBTAR001277,ESR1,,,
HBIN002684,HBTAR002737,NOS2,,,
HBIN002684,HBTAR002811,OPRD1,,,
HBIN002684,HBTAR002814,OPRM1,,,
HBIN002684,HBTAR003223,PRSS1,,,
HBIN002684,HBTAR003294,PTGS1,,,
HBIN002684,HBTAR003295,PTGS2,,,
HBIN002684,HBTAR003629,SCN5A,,,
HBIN002684,HBTAR004789,NCOA1,,,
HBIN002684,HBTAR000093,ADRA1B,,,
HBIN002684,HBTAR001278,ESR2,,,
HBIN002684,HBTAR005869,NCOA2,,,
HBIN002684,HBTAR000700,CHRM2,,,
HBIN002684,HBTAR000549,CCNA2,,,
HBIN002684,HBTAR000710,CHRNA7,,,
HBIN002684,HBTAR001096,DPP4,,,
HBIN002684,HBTAR000704,CHRM5,,,
HBIN002684,HBTAR001471,GABRA1,,,
HBIN002684,HBTAR000634,CDK2,,,
HBIN002684,HBTAR003005,PIM1,,,
HBIN002684,HBTAR000092,ADRA1D,,,
HBIN002684,HBTAR001710,GSK3B,,,
HBIN003326,HBTAR000031,ACHE,,,
HBIN003326,HBTAR003223,PRSS1,,,
HBIN003326,HBTAR001471,GABRA1,,,
HBIN005860,HBTAR000094,ADRA1A,,,
HBIN005860,HBTAR000099,ADRB2,,,
HBIN005860,HBTAR000233,AR,,,
HBIN005860,HBTAR000492,CALM3,,,
HBIN005860,HBTAR000549,CCNA2,,,
HBIN005860,HBTAR000634,CDK2,,,
HBIN005860,HBTAR000699,CHRM1,,,
HBIN005860,HBTAR001277,ESR1,,,
HBIN005860,HBTAR001964,HTR3A,,,
HBIN005860,HBTAR002031,IGHG1,,,
HBIN005860,HBTAR002814,OPRM1,,,
HBIN005860,HBTAR003294,PTGS1,,,
HBIN005860,HBTAR003295,PTGS2,,,
HBIN005860,HBTAR003583,RXRA,,,
HBIN005860,HBTAR003629,SCN5A,,,
HBIN005860,HBTAR003762,SLC6A3,,,
HBIN005860,HBTAR003763,SLC6A4,,,
HBIN005860,HBTAR003223,PRSS1,,,
HBIN005860,HBTAR001096,DPP4,,,
HBIN005860,HBTAR000874,MAPK14,,,
HBIN005860,HBTAR000031,ACHE,,,
HBIN005860,HBTAR000700,CHRM2,,,
HBIN005860,HBTAR000686,CHEK1,,,
HBIN005860,HBTAR001105,DRD1,,,
HBIN005860,HBTAR000710,CHRNA7,,,
HBIN005860,HBTAR001278,ESR2,,,
HBIN005860,HBTAR001471,GABRA1,,,
HBIN005860,HBTAR000704,CHRM5,,,
HBIN005860,HBTAR003005,PIM1,,,
HBIN005860,HBTAR000702,CHRM3,,,
HBIN005860,HBTAR001710,GSK3B,,,
HBIN005860,HBTAR003112,PPARG,,,
HBIN005860,HBTAR000460,CA2,,,
HBIN005860,HBTAR002737,NOS2,,,
HBIN005860,HBTAR000093,ADRA1B,,,
HBIN005860,HBTAR005869,NCOA2,,,
HBIN005860,HBTAR000092,ADRA1D,,,
HBIN005860,HBTAR000703,CHRM4,,,
HBIN006386,HBTAR000233,AR,,,
HBIN006386,HBTAR000549,CCNA2,,,
HBIN006386,HBTAR001277,ESR1,,,
HBIN006386,HBTAR003223,PRSS1,,,
HBIN006386,HBTAR003295,PTGS2,,,
HBIN006386,HBTAR000634,CDK2,,,
HBIN006386,HBTAR003112,PPARG,,,
HBIN006386,HBTAR001096,DPP4,,,
HBIN006386,HBTAR000460,CA2,,,
HBIN006386,HBTAR000874,MAPK14,,,
HBIN006386,HBTAR001710,GSK3B,,,
HBIN006614,HBTAR000031,ACHE,,,
HBIN006614,HBTAR000095,ADRA2A,,,
HBIN006614,HBTAR000098,ADRB1,,,
HBIN006614,HBTAR000099,ADRB2,,,
HBIN006614,HBTAR002403,MAOB,,,
HBIN006614,HBTAR003294,PTGS1,,,
HBIN006614,HBTAR003295,PTGS2,,,
HBIN006614,HBTAR001096,DPP4,,,
HBIN006614,HBTAR000924,CTRB1,,,
HBIN006614,HBTAR002737,NOS2,,,
HBIN006614,HBTAR000092,ADRA1D,,,
HBIN006614,HBTAR000634,CDK2,,,
HBIN006614,HBTAR000097,ADRA2C,,,
HBIN006614,HBTAR001094,DPEP1,,,
HBIN006614,HBTAR003223,PRSS1,,,
HBIN006614,HBTAR000460,CA2,,,
HBIN006614,HBTAR000096,ADRA2B,,,
HBIN006690,HBTAR003223,PRSS1,,,
HBIN006690,HBTAR003295,PTGS2,,,
HBIN006690,HBTAR001277,ESR1,,,
HBIN006690,HBTAR000634,CDK2,,,
HBIN006690,HBTAR001307,F7,,,
HBIN006690,HBTAR001710,GSK3B,,,
HBIN006690,HBTAR002737,NOS2,,,
HBIN006690,HBTAR001094,DPEP1,,,
HBIN006690,HBTAR000874,MAPK14,,,
HBIN006690,HBTAR003112,PPARG,,,
HBIN006690,HBTAR003005,PIM1,,,
HBIN006690,HBTAR001278,ESR2,,,
HBIN006690,HBTAR003352,PYGM,,,
HBIN006690,HBTAR000233,AR,,,
HBIN006690,HBTAR001096,DPP4,,,
HBIN007959,HBTAR000031,ACHE,,,
HBIN007959,HBTAR000099,ADRB2,,,
HBIN007959,HBTAR000699,CHRM1,,,
HBIN007959,HBTAR002811,OPRD1,,,
HBIN007959,HBTAR002814,OPRM1,,,
HBIN007959,HBTAR003223,PRSS1,,,
HBIN007959,HBTAR003295,PTGS2,,,
HBIN007959,HBTAR003629,SCN5A,,,
HBIN007959,HBTAR004789,NCOA1,,,
HBIN007959,HBTAR001278,ESR2,,,
HBIN007959,HBTAR003005,PIM1,,,
HBIN007959,HBTAR002737,NOS2,,,
HBIN007959,HBTAR000704,CHRM5,,,
HBIN007959,HBTAR000634,CDK2,,,
HBIN007959,HBTAR000710,CHRNA7,,,
HBIN007959,HBTAR001277,ESR1,,,
HBIN007959,HBTAR003112,PPARG,,,
HBIN007959,HBTAR001096,DPP4,,,
HBIN007959,HBTAR000549,CCNA2,,,
HBIN007959,HBTAR001710,GSK3B,,,
HBIN007959,HBTAR000233,AR,,,
HBIN008251,HBTAR000031,ACHE,,,
HBIN008251,HBTAR000094,ADRA1A,,,
HBIN008251,HBTAR000099,ADRB2,,,
HBIN008251,HBTAR000460,CA2,,,
HBIN008251,HBTAR000699,CHRM1,,,
HBIN008251,HBTAR002031,IGHG1,,,
HBIN008251,HBTAR002811,OPRD1,,,
HBIN008251,HBTAR002814,OPRM1,,,
HBIN008251,HBTAR003223,PRSS1,,,
HBIN008251,HBTAR003295,PTGS2,,,
HBIN008251,HBTAR003583,RXRA,,,
HBIN008251,HBTAR004789,NCOA1,,,
HBIN008251,HBTAR001277,ESR1,,,
HBIN008251,HBTAR000233,AR,,,
HBIN008251,HBTAR000634,CDK2,,,
HBIN008251,HBTAR002737,NOS2,,,
HBIN008251,HBTAR001278,ESR2,,,
HBIN008251,HBTAR000549,CCNA2,,,
HBIN008251,HBTAR000710,CHRNA7,,,
HBIN008251,HBTAR000874,MAPK14,,,
HBIN008251,HBTAR001105,DRD1,,,
HBIN008251,HBTAR001096,DPP4,,,
HBIN008251,HBTAR003112,PPARG,,,
HBIN008251,HBTAR003005,PIM1,,,
HBIN008251,HBTAR000686,CHEK1,,,
HBIN008251,HBTAR000092,ADRA1D,,,
HBIN008251,HBTAR001710,GSK3B,,,
HBIN010277,HBTAR000031,ACHE,,,
HBIN010277,HBTAR001692,NR3C1,,,
HBIN010277,HBTAR002971,PGR,,,
HBIN010277,HBTAR003295,PTGS2,,,
HBIN010277,HBTAR004789,NCOA1,,,
HBIN010277,HBTAR001277,ESR1,,,
HBIN010277,HBTAR002737,NOS2,,,
HBIN010277,HBTAR005869,NCOA2,,,
HBIN010277,HBTAR000233,AR,,,
HBIN010697,HBTAR000094,ADRA1A,,,
HBIN010697,HBTAR000095,ADRA2A,,,
HBIN010697,HBTAR000099,ADRB2,,,
HBIN010697,HBTAR000233,AR,,,
HBIN010697,HBTAR000460,CA2,,,
HBIN010697,HBTAR000699,CHRM1,,,
HBIN010697,HBTAR001106,DRD2,,,
HBIN010697,HBTAR001277,ESR1,,,
HBIN010697,HBTAR002811,OPRD1,,,
HBIN010697,HBTAR002814,OPRM1,,,
HBIN010697,HBTAR003294,PTGS1,,,
HBIN010697,HBTAR003295,PTGS2,,,
HBIN010697,HBTAR003583,RXRA,,,
HBIN010697,HBTAR003629,SCN5A,,,
HBIN010697,HBTAR003762,SLC6A3,,,
HBIN010697,HBTAR003763,SLC6A4,,,
HBIN010697,HBTAR004789,NCOA1,,,
HBIN010697,HBTAR000092,ADRA1D,,,
HBIN010697,HBTAR005869,NCOA2,,,
HBIN010697,HBTAR000093,ADRA1B,,,
HBIN010697,HBTAR000700,CHRM2,,,
HBIN010697,HBTAR003005,PIM1,,,
HBIN010697,HBTAR001710,GSK3B,,,
HBIN010697,HBTAR003223,PRSS1,,,
HBIN010697,HBTAR000097,ADRA2C,,,
HBIN010697,HBTAR001105,DRD1,,,
HBIN010697,HBTAR000686,CHEK1,,,
HBIN010697,HBTAR000710,CHRNA7,,,
HBIN010697,HBTAR001096,DPP4,,,
HBIN010697,HBTAR000703,CHRM4,,,
HBIN010697,HBTAR003112,PPARG,,,
HBIN010697,HBTAR000702,CHRM3,,,
HBIN010697,HBTAR000704,CHRM5,,,
HBIN010697,HBTAR002737,NOS2,,,
